id_movimiento,periodo,anio,mes,fuente_archivo,hoja_origen,fecha_carga,fecha_creacion,fecha_movimiento,tipo_movimiento_original,naturaleza_movimiento,categoria_movimiento,descripcion_movimiento,proveedor,documento_soporte,factura_no,cantidad,valor_unitario,valor_total,estado_registro,alerta_calidad,observacion_revision
INV-202511-000044,2025-11,2025,11,2025_11_Noviembre.xlsx,inventario,2026-04-20,2025-12-16 14:11:11.441,2025-11-25 14:07:26.406,Entrada - Compra,ENTRADA,COMPRA,,MERCAMIO SA,,CSFE117408,0,0,503346.0,OK,,
INV-202511-000045,2025-11,2025,11,2025_11_Noviembre.xlsx,inventario,2026-04-20,2025-12-18 13:43:10.484,2025-11-25 13:42:48.880,Entrada - Compra,ENTRADA,COMPRA,,PESQUERA VALLEMAR SAS,,PELV14822,0,0,18002.0,OK,,
INV-202511-000046,2025-11,2025,11,2025_11_Noviembre.xlsx,inventario,2026-04-20,2025-12-08 23:44:26.240,2025-11-24 23:42:56.036,Entrada - Compra,ENTRADA,COMPRA,,QUESERA Y SALSAMENTARIA SAN FERNANDO SAS,,PO178813,0,0,33200.0,OK,,
INV-202511-000047,2025-11,2025,11,2025_11_Noviembre.xlsx,inventario,2026-04-20,2025-12-08 22:30:04.833,2025-11-24 22:27:57.366,Entrada - Compra,ENTRADA,COMPRA,,INVERSIONES TATIANA GA S.A.S,,SB423128,0,0,121200.0,OK,,
INV-202511-000048,2025-11,2025,11,2025_11_Noviembre.xlsx,inventario,2026-04-20,2025-12-06 22:28:08.629,2025-11-24 22:02:18.528,Entrada - Compra,ENTRADA,COMPRA,,MERCAMIO SA,,CSFE115210,0,0,153621.0,OK,,
INV-202511-000049,2025-11,2025,11,2025_11_Noviembre.xlsx,inventario,2026-04-20,2025-12-17 21:30:34.026,2025-11-24 21:28:59.876,Entrada - Compra,ENTRADA,COMPRA,,BONNIPLAST SAS,,FESA28591,0,0,347488.0,OK,,
INV-202511-000050,2025-11,2025,11,2025_11_Noviembre.xlsx,inventario,2026-04-20,2025-11-30 15:47:56.550,2025-11-24 15:45:45.642,Entrada - Compra,ENTRADA,COMPRA,,DISTRIBUIDORA J Y N,,061505,0,0,135000.0,OK,,
INV-202511-000051,2025-11,2025,11,2025_11_Noviembre.xlsx,inventario,2026-04-20,2025-11-30 15:13:47.395,2025-11-24 15:09:40.900,Entrada - Compra,ENTRADA,COMPRA,,QUESERA Y SALSAMENTARIA SAN FERNANDO SAS,,PO178988,0,0,385700.0,OK,,
INV-202511-000052,2025-11,2025,11,2025_11_Noviembre.xlsx,inventario,2026-04-20,2025-12-08 14:39:13.899,2025-11-24 14:38:29.957,Entrada - Compra,ENTRADA,COMPRA,,PESQUERA VALLEMAR SAS,,PELV14806,0,0,96000.0,OK,,
INV-202511-000053,2025-11,2025,11,2025_11_Noviembre.xlsx,inventario,2026-04-20,2025-12-16 13:53:35.670,2025-11-24 13:50:49.469,Entrada - Compra,ENTRADA,COMPRA,,D1 SAS,,G3I4250516,0,0,203550.0,OK,,
